Item,SKU,Serial number,Barcode,Brand,Supplier,Quantity sold, Sales (inc. tax) , Sales (Ex. tax) , Order discounts , Discount offers , Total markup value , Purchase cost , Gross profit ,Margin %
SM Classic Brake set front,SM-CLS-BRK-SET-FNT,,25C919FC,Smartmotion,"Kunshan Cyclisport Co., Ltd",1,$0.00,$0.00,$89.95,$0.00,$0.00,$0.00,$0.00,0
Tube 10x2.125 Straight Valve,,,,,,1,$20.00,$18.18,$0.00,$0.00,$0.00,$20.00,-$1.82,-10
10x2.125 Non Series Tyre (SEGWAY),,,,,,1,$35.00,$31.82,$0.00,$0.00,$0.00,$35.00,-$3.18,-10
Tyre Hugger,,,,,,1,$35.00,$31.82,$0.00,$0.00,$0.00,$0.00,$31.82,100
BBB 1500 Lumens Lighjt,,,,,,1,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
GAIN HELMET - HOT PINK,,,,,,1,$55.00,$50.00,$0.00,$0.00,$0.00,$55.00,-$5.00,-10
ZERO 8X Controller / 52V 18Ah - Rear,ZER-8X-CON-52V18-B,,C120713C,Zero,Falcon PEV Pte Ltd,1,$105.00,$95.45,$0.00,$0.00,$0.00,$50.40,$45.05,47.2
ZERO 8X Controller / 52V 18Ah - Front,ZER-8X-CON-52V18-A,,34F506DE,Zero,Falcon PEV Pte Ltd,1,$0.00,$0.00,$105.00,$0.00,$0.00,$50.40,-$50.40,0
SM Battery/36V/HyperSonic / Black/Orange,SM-BAT-36V-HS-B/O,WDDHL360145519120048,BBF2021C,Smartmotion,"Kunshan Cyclisport Co., Ltd",1,$0.00,$0.00,$724.68,$0.00,$0.00,$549.00,-$549.00,0
ZERO LEVER [ONLY],,,,,,1,$15.00,$13.64,$0.00,$0.00,$0.00,$0.00,$13.64,100
ZERO Main Steering Tube / ZERO 8X,ZER-8X-MAI-STE,,576722EB,Zero,Falcon PEV Pte Ltd,1,$0.00,$0.00,$90.00,$0.00,$0.00,$62.30,-$62.30,0
"Kaiser Baas 8"" tyre",,,,,,1,$40.00,$36.36,$0.00,$0.00,$0.00,$0.00,$36.36,100
2X X-CITY FIRTS SERVICE,,,,,,1,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0
"KAABO MANTIC 8"" HEADSET BEARINGS DAMAGED & CHECK BRAKES",,,,,,1,$100.00,$90.91,$0.00,$0.00,$100.00,$0.00,$90.91,100
1% CREDIT CARD SURCHARGE,,,,,,1,$424.10,$385.55,$0.00,$0.00,$0.00,$0.00,$385.55,100
KUSH SERVICE/CHECK BRAKES & FLUID/HEADSET LOOSE/THROTTLE GRIP/HEAD LIGHTS,,,,,,1,$150.00,$136.36,$0.00,$0.00,$0.00,$0.00,$136.36,100
ZERO BRAKE CALLIPER,,,,,,1,$45.00,$40.91,$0.00,$0.00,$0.00,$0.00,$40.91,100
E20 FOLDING HANDLEBAR LEVER/LATCH,,,,,,1,$0.00,$0.00,$28.00,$0.00,$0.00,$28.00,-$28.00,0
SM Sport Catalyst forks,SM-SPT-CL-FRK,,62EA6AD3,Smartmotion,"Kunshan Cyclisport Co., Ltd",1,$185.25,$168.41,$9.75,$0.00,$0.00,$150.00,$18.41,10.93
VSETT 10+ PINS AND SCREWS FOLDING MECHANSIMS,,,,,,1,$24.95,$22.68,$0.00,$0.00,$0.00,$0.00,$22.68,100
VSETT 10+ FOLDING CLASP PIN,,,,,,1,$10.95,$9.95,$0.00,$0.00,$0.00,$0.00,$9.95,100
VSETT 10+ STEERING POLE MOUNT,,,,,,1,$21.95,$19.95,$0.00,$0.00,$0.00,$0.00,$19.95,100
VSETT 10+ Main tube,VS-10+-MAIN-TUBE,,FC6B67A2,VSETT,Ningbo Vsett,1,$137.42,$124.93,$0.00,$0.00,$0.00,$124.93,$0.00,0
TRINX E-BIKE MOTOR LOCKING MAYBE CABLE DAMAGE & QUOTE ON REPAIRING UP TO RUNNING SPEC,,,,,,1,$100.00,$90.91,$0.00,$0.00,$100.00,$0.00,$90.91,100
11X Motor Rim,,,,,,1,$25.00,$22.73,$0.00,$0.00,$0.00,$0.00,$22.73,100
VSETT 8+/9+  communication cable,VS-8+/9+-ONE-LINE,,E2237253,VSETT,Ningbo Vsett,1,$14.45,$13.14,$0.00,$0.00,$0.00,$13.14,$0.00,0
VSETT 8+/9+ Single/Dual Button Switch,VS-8+/9/9+-BTN-SWTCH,,7C2785DC,VSETT,Ningbo Vsett,1,$12.99,$11.81,$0.00,$0.00,$0.00,$11.81,$0.00,0
KAABO WOLF INSTALL TYRE SUPPLIED BY CUSTOMER,,,,,,1,$100.00,$90.91,$0.00,$0.00,$100.00,$0.00,$90.91,100
VSETT REPAIR FLAT TYRE,,,,,,1,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
TUBE 11X4 BENT STEM,,,,,,1,$22.50,$20.45,$0.00,$0.00,$0.00,$0.00,$20.45,100
FRONT CALLIPER BRACKET,,,,,,1,$8.25,$7.50,$0.00,$0.00,$0.00,$8.25,-$0.75,-10
ZERO 10X REPAIR FLAT TYRE,,,,,,1,$50.00,$45.45,$0.00,$0.00,$0.00,$0.00,$45.45,100
BATTERY REPAIR - ROCKER SWITCH,,,,,,1,$9.95,$9.05,$0.00,$0.00,$0.00,$0.00,$9.05,100
S/HAND POUCH,,,,,,1,$15.00,$13.64,$0.00,$0.00,$0.00,$0.00,$13.64,100
SM Battery/Docking/Station / Battery Rail w/o Key,SM-DOC-ST-RAIL,,AF1B2661,Smartmotion,"Kunshan Cyclisport Co., Ltd",1,$0.00,$0.00,$46.15,$0.00,$0.00,$27.97,-$27.97,0
